track_id,track_name,artist_names,album_name,duration_ms,popularity,explicit
25CbtOzU8Pn17SAaXFjIR3,Take The Power Back,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),336440,58,True
2gABnPYOMsyxThmsOQ4uWK,Tequila Sunrise,"Cypress Hill, Barron Ricks",The Essential Cypress Hill,257746,66,True
13HsOwrwTA5HgLuoaDHncP,RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator, Teezo Touchdown",CALL ME IF YOU GET LOST,229564,61,True
2vLFK4t0KQwNVQvnjGuMb8,Si No Vas a Ser Tú,Young Tender,Si No Vas a Ser Tú,229225,45,False
5MzhfnyleWwDozKzGQHBdN,No Shelter,Rage Against The Machine,Godzilla - The Album,243760,45,True
6glsMWIMIxQ4BedzLqGVi4,"So Fresh, So Clean",Outkast,Stankonia,240026,72,True
0YaQuHvpSjpa8qJ8gj2WXk,Nunca Nada,Technicolor Fabrics,Ideas,253579,32,False
2E2ZVy2fxslpAUgbb4zu84,Abracadabra,Steve Miller Band,Abracadabra,308373,69,False
3rEwX4Ag28iVs3rcp5o952,Los Esclavos,"Ramona, Little Jesus",Redes Sociales,190732,42,False
6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors,The Doors,145866,73,False
7lPjS6Yd4lRk4BsboDsm1H,Roundabout - 2008 Remaster,Yes,Fragile,515960,50,False
7yBgjTMniUHtFQGsDxXkWE,Belleza,Fármacos,Estado de Gracia,244386,40,False
3EK4tGkSiO5xvvB5sM4tln,Amárrame,"Mon Laferte, Juanes",La Trenza,207333,76,False
21wYclGDiieKf42kEWxqV9,Intergalactic Janet,Ley Soul,Intergalactic Janet,160440,55,False
63QpuNHIZ8APaK37LkV8Xd,El baile y el salón,Café Tacvba,Re,308040,64,False
0bEi4jKegSSIrj6fKUpJSu,"The Robot With Human Hair, Pt. 3",Dance Gavin Dance,Dance Gavin Dance,225813,34,True
48lQegoLqGAzaRLnMwK0mO,Freedom,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),366333,56,False
3K56RPWS4q200IwHiIZcUD,Andamos Mejor,Los Gemelos De Sinaloa,Andamos Mejor,137183,70,False
5RbIyBlAdDw8v64VWU6PcL,El Paraíso,Los Mesoneros,Caiga La Noche,185253,44,False
6qelrb4tpDVNdbNW6UGPNn,Guitar In My Room (with Lil Durk & Kid Cudi),"Lyrical Lemonade, Lil Durk, Kid Cudi",All Is Yellow,227647,52,True
1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,The Police,Reggatta De Blanc (Remastered 2003),290280,76,False
3ZrobdWN5kvgpPlwpzCvTt,Equilibrium (with BabyTron & G Herbo),"Lyrical Lemonade, BabyTron, G Herbo",All Is Yellow,183529,56,True
4wJKTG3bAleqUXmylh83Id,[Admire Her] (with Gunna),"Bas, Gunna",[BUMP] Pick Me Up,157777,45,True
57VeLYXrvNxe8Vs18K2M9W,Way Out (feat. Big Sean),"Jack Harlow, Big Sean",Thats What They All Say,168906,64,True
5tYosD9TicWDYO3kAE4ADp,Roll Right,Rage Against The Machine,Evil Empire,260266,50,True
3rdAz1fbUfZxYgaCviYhRo,Todo De Ti,Rauw Alejandro,VICE VERSA,199604,79,True
1UyYuaCxOF4ilkRDZ74nJW,Here I Dreamt I Was an Architect,The Decemberists,Castaways and Cutouts,269146,51,False
06qp2aPjepeepM7sYg2AVS,Loco,Juanes,Más Futuro Que Pasado,196586,34,False
6JfNsc7wg3mnKunY8gLmLg,"Special (with Latto, Swae Lee & Aminé)","Lyrical Lemonade, Latto, Swae Lee, Aminé",All Is Yellow,157090,48,True
6bs88I4enbCiWZIeD5QQ5E,Eliza Mi Hortaliza,Enjambre,Daltónico,237475,49,False
6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma),"Shakira, Maluma",El Dorado,195840,79,False
655gNlXQ7zb9jPrTuqJ4mf,Revolver,Rage Against The Machine,Evil Empire,327946,50,True
0SGkqnVQo9KPytSri1H6cF,Bounce Back,Big Sean,I Decided.,222360,68,True
